Code,Category,Honda likely summary,Recommended Shop
P0032,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0033,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0034,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0035,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0036,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0037,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0038,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0039,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0040,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0041,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0042,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0043,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0044,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0045,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0046,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0047,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0048,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0049,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0050,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0051,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0052,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0053,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0054,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0055,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0056,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0057,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0058,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0059,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0060,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0061,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0062,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0063,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0064,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0065,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0066,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0067,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0068,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0069,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0070,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0071,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0072,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0073,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0074,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0075,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0076,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0077,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0078,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0079,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0080,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0081,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0082,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0083,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0084,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0085,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0086,Fuel pressure / fuel pump,"Likely fuel pressure / fuel pump fault involving regulator, valve timing, sensor heater, correlation, or fuel pressure control.",MP Motorwerks
P0087,Fuel pressure / fuel pump,"Fuel rail or system pressure too low; likely pump, regulator, pressure sensor, leak, or wiring issue.",MP Motorwerks
P0088,Fuel pressure / fuel pump,"Fuel rail or system pressure too high; likely pump, regulator, pressure sensor, leak, or wiring issue.",MP Motorwerks
P0089,Fuel pressure / fuel pump,"Fuel pressure regulator performance issue; likely pump, regulator, pressure sensor, leak, or wiring issue.",MP Motorwerks
P0090,Fuel pressure / fuel pump,"Fuel pressure regulator control circuit open; likely pump, regulator, pressure sensor, leak, or wiring issue.",MP Motorwerks
P0091,Fuel pressure / fuel pump,"Fuel pressure regulator control circuit low; likely pump, regulator, pressure sensor, leak, or wiring issue.",MP Motorwerks
P0092,Fuel pressure / fuel pump,"Fuel pressure regulator control circuit high; likely pump, regulator, pressure sensor, leak, or wiring issue.",MP Motorwerks
P0093,Fuel pressure / fuel pump,"Large fuel system leak detected; likely pump, regulator, pressure sensor, leak, or wiring issue.",MP Motorwerks
P0094,Fuel pressure / fuel pump,"Small fuel system leak detected; likely pump, regulator, pressure sensor, leak, or wiring issue.",MP Motorwerks
P0095,Fuel pressure / fuel pump,Intake air temperature sensor 2 fault; likely sensor or wiring issue.,MP Motorwerks
P0096,Fuel pressure / fuel pump,Intake air temperature sensor 2 fault; likely sensor or wiring issue.,MP Motorwerks
P0097,Fuel pressure / fuel pump,Intake air temperature sensor 2 fault; likely sensor or wiring issue.,MP Motorwerks
P0098,Fuel pressure / fuel pump,Intake air temperature sensor 2 fault; likely sensor or wiring issue.,MP Motorwerks
P0099,Fuel pressure / fuel pump,Intake air temperature sensor 2 fault; likely sensor or wiring issue.,MP Motorwerks
P0100,Air intake / sensors,"Mass air flow circuit malfunction; likely airflow sensor, intake leak, dirty sensor, or wiring problem.",CMD Automotive
P0101,Air intake / sensors,"Mass air flow circuit range or performance issue; likely airflow sensor, intake leak, dirty sensor, or wiring problem.",CMD Automotive
P0102,Air intake / sensors,"Mass air flow circuit low input; likely airflow sensor, intake leak, dirty sensor, or wiring problem.",CMD Automotive
P0103,Air intake / sensors,"Mass air flow circuit high input; likely airflow sensor, intake leak, dirty sensor, or wiring problem.",CMD Automotive
P0104,Air intake / sensors,"Mass air flow circuit intermittent issue; likely airflow sensor, intake leak, dirty sensor, or wiring problem.",CMD Automotive
P0105,Air intake / sensors,"MAP sensor circuit malfunction; likely MAP sensor, vacuum source, intake issue, or wiring problem.",CMD Automotive
P0106,Air intake / sensors,"MAP sensor range or performance issue; likely MAP sensor, vacuum source, intake issue, or wiring problem.",CMD Automotive
P0107,Air intake / sensors,"MAP sensor low input; likely MAP sensor, vacuum source, intake issue, or wiring problem.",CMD Automotive
P0108,Air intake / sensors,"MAP sensor high input; likely MAP sensor, vacuum source, intake issue, or wiring problem.",CMD Automotive
P0109,Air intake / sensors,"MAP sensor intermittent issue; likely MAP sensor, vacuum source, intake issue, or wiring problem.",CMD Automotive
P0110,Air intake / sensors,Intake air temperature sensor circuit malfunction; likely intake temp sensor or wiring issue.,CMD Automotive
P0111,Air intake / sensors,Intake air temperature sensor range or performance issue; likely intake temp sensor or wiring issue.,CMD Automotive
P0112,Air intake / sensors,Intake air temperature sensor low input; likely intake temp sensor or wiring issue.,CMD Automotive
P0113,Air intake / sensors,Intake air temperature sensor high input; likely intake temp sensor or wiring issue.,CMD Automotive
P0114,Air intake / sensors,Intake air temperature sensor intermittent issue; likely intake temp sensor or wiring issue.,CMD Automotive
P0115,Air intake / sensors,"Engine coolant temperature sensor circuit malfunction; likely ECT sensor, thermostat, or wiring issue.",CMD Automotive
P0116,Air intake / sensors,"Engine coolant temperature sensor range or performance issue; likely ECT sensor, thermostat, or wiring issue.",CMD Automotive
P0117,Air intake / sensors,"Engine coolant temperature sensor low input; likely ECT sensor, thermostat, or wiring issue.",CMD Automotive
P0118,Air intake / sensors,"Engine coolant temperature sensor high input; likely ECT sensor, thermostat, or wiring issue.",CMD Automotive
P0119,Air intake / sensors,"Engine coolant temperature sensor intermittent issue; likely ECT sensor, thermostat, or wiring issue.",CMD Automotive
P0120,Air intake / sensors,"Throttle position sensor circuit malfunction; likely throttle body, TPS, or wiring problem.",CMD Automotive
P0121,Air intake / sensors,"Throttle position sensor range or performance issue; likely throttle body, TPS, or wiring problem.",CMD Automotive
P0122,Air intake / sensors,"Throttle position sensor low input; likely throttle body, TPS, or wiring problem.",CMD Automotive
P0123,Air intake / sensors,"Throttle position sensor high input; likely throttle body, TPS, or wiring problem.",CMD Automotive
P0124,Air intake / sensors,"Throttle position sensor intermittent issue; likely throttle body, TPS, or wiring problem.",CMD Automotive
P0125,Air intake / sensors,Likely air intake / sensors fault.,CMD Automotive
P0126,Air intake / sensors,Likely air intake / sensors fault.,CMD Automotive
P0127,Air intake / sensors,Likely air intake / sensors fault.,CMD Automotive
P0128,Air intake / sensors,Coolant thermostat below regulating temperature; often a stuck-open thermostat or coolant temperature sensing issue.,CMD Automotive
P0129,Air intake / sensors,Likely air intake / sensors fault.,CMD Automotive
P0130,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0131,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0132,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0133,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0134,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0135,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0136,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0137,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0138,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0139,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0140,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0141,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0142,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0143,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0144,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0145,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0146,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0147,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0148,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0149,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0150,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0151,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0152,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0153,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0154,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0155,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0156,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0157,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0158,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0159,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0160,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0161,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0162,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0163,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0164,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0165,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0166,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0167,Air intake / sensors,"Oxygen sensor or heater circuit fault; on Hondas this is usually the A/F sensor or O2 sensor, heater, connector, or wiring.",CMD Automotive
P0168,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0169,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0170,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0171,Air intake / sensors,"System too lean (Bank 1); on Hondas this is often a vacuum leak, unmetered air, low fuel pressure, or intake gasket issue.",CMD Automotive
P0172,Air intake / sensors,"System too rich (Bank 1); often excess fuel delivery, leaking injector, or sensor feedback issue.",CMD Automotive
P0173,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0174,Air intake / sensors,"System too lean (Bank 2); more common on V engines with vacuum, airflow, or fuel delivery problems.",CMD Automotive
P0175,Air intake / sensors,System too rich (Bank 2); often fuel delivery or sensor feedback issue.,CMD Automotive
P0176,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0177,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0178,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0179,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0180,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0181,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0182,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0183,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0184,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0185,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0186,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0187,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0188,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0189,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0190,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0191,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0192,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0193,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0194,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0195,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0196,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
P0197,Air intake / sensors,"Likely air intake / sensors fault affecting fuel trim, fuel temperature, pressure sensing, or sensor signal quality.",CMD Automotive
